mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator,param_sampler,param_scaler,params,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc,std_train_roc_auc,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,mean_train_accuracy,std_train_accuracy,mean_test_f1,std_test_f1,rank_test_f1,mean_train_f1,std_train_f1,mean_test_recall,std_test_recall,rank_test_recall,mean_train_recall,std_train_recall,mean_test_precision,std_test_precision,rank_test_precision,mean_train_precision,std_train_precision,log_target,transf_feat,features,param_transformer
3.59,1.28,0.08,0.0,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)",RandomUnderSampler(),passthrough,"{'estimator': XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...), 'sampler': RandomUnderSampler(), 'scaler': 'passthrough'}",0.71,0.0,13,0.87,0.0,0.66,0.01,15,0.7,0.0,0.23,0.0,7,0.33,0.0,0.65,0.0,8,0.91,0.0,0.14,0.0,15,0.2,0.0,1,0,,
7.79,0.43,0.08,0.0,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)",passthrough,StandardScaler(),"{'estimator': XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...), 'sampler': 'passthrough', 'scaler': StandardScaler()}",0.72,0.0,11,0.92,0.0,0.92,0.0,7,0.93,0.0,0.06,0.01,9,0.26,0.01,0.03,0.0,9,0.15,0.01,0.38,0.06,7,0.96,0.01,1,0,,
7.48,0.52,0.07,0.0,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)",passthrough,passthrough,"{'estimator': XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...), 'sampler': 'passthrough', 'scaler': 'passthrough'}",0.72,0.0,10,0.92,0.0,0.92,0.0,7,0.93,0.0,0.06,0.01,9,0.26,0.01,0.03,0.0,9,0.15,0.01,0.38,0.06,7,0.96,0.01,1,0,,
0.06,0.01,0.08,0.01,LogisticRegression(),RandomUnderSampler(),StandardScaler(),"{'estimator': LogisticRegression(), 'sampler': RandomUnderSampler(), 'scaler': StandardScaler()}",0.73,0.01,3,0.74,0.0,0.68,0.0,11,0.68,0.0,0.25,0.0,1,0.25,0.0,0.67,0.01,3,0.67,0.0,0.15,0.0,8,0.15,0.0,0,0,,
0.1,0.02,0.12,0.04,LogisticRegression(),RandomUnderSampler(),passthrough,"{'estimator': LogisticRegression(), 'sampler': RandomUnderSampler(), 'scaler': 'passthrough'}",0.55,0.01,16,0.55,0.0,0.57,0.02,16,0.57,0.02,0.16,0.01,8,0.16,0.0,0.51,0.04,8,0.51,0.02,0.09,0.0,15,0.09,0.0,0,0,,
0.44,0.04,0.09,0.01,LogisticRegression(),passthrough,StandardScaler(),"{'estimator': LogisticRegression(), 'sampler': 'passthrough', 'scaler': StandardScaler()}",0.73,0.01,4,0.74,0.0,0.92,0.0,1,0.92,0.0,0.02,0.0,15,0.02,0.0,0.01,0.0,15,0.01,0.0,0.5,0.05,1,0.5,0.01,0,0,,
0.66,0.11,0.08,0.01,LogisticRegression(),passthrough,passthrough,"{'estimator': LogisticRegression(), 'sampler': 'passthrough', 'scaler': 'passthrough'}",0.59,0.01,15,0.59,0.0,0.92,0.0,2,0.92,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,16,0.0,0.0,0,0,,
1.89,0.13,0.64,0.06,RandomForestClassifier(),RandomUnderSampler(),StandardScaler(),"{'estimator': RandomForestClassifier(), 'sampler': RandomUnderSampler(), 'scaler': StandardScaler()}",0.72,0.01,8,0.98,0.0,0.68,0.0,9,0.73,0.0,0.25,0.0,2,0.38,0.0,0.66,0.01,4,1.0,0.0,0.15,0.0,9,0.23,0.0,0,0,,
1.69,0.09,0.58,0.03,RandomForestClassifier(),RandomUnderSampler(),passthrough,"{'estimator': RandomForestClassifier(), 'sampler': RandomUnderSampler(), 'scaler': 'passthrough'}",0.73,0.0,7,0.98,0.0,0.68,0.01,10,0.73,0.0,0.25,0.0,5,0.38,0.0,0.66,0.01,5,1.0,0.0,0.15,0.0,12,0.23,0.0,0,0,,
11.43,0.58,0.79,0.16,RandomForestClassifier(),passthrough,StandardScaler(),"{'estimator': RandomForestClassifier(), 'sampler': 'passthrough', 'scaler': StandardScaler()}",0.7,0.01,14,1.0,0.0,0.92,0.0,3,1.0,0.0,0.02,0.01,14,1.0,0.0,0.01,0.0,14,1.0,0.0,0.44,0.07,2,1.0,0.0,0,0,,
10.96,1.08,0.65,0.09,RandomForestClassifier(),passthrough,passthrough,"{'estimator': RandomForestClassifier(), 'sampler': 'passthrough', 'scaler': 'passthrough'}",0.71,0.01,13,1.0,0.0,0.92,0.0,4,1.0,0.0,0.02,0.01,13,1.0,0.0,0.01,0.0,13,1.0,0.0,0.44,0.14,3,1.0,0.0,0,0,,
6.86,3.98,0.14,0.04,LGBMClassifier(),RandomUnderSampler(),StandardScaler(),"{'estimator': LGBMClassifier(), 'sampler': RandomUnderSampler(), 'scaler': StandardScaler()}",0.73,0.01,6,0.83,0.0,0.67,0.01,12,0.7,0.0,0.25,0.01,3,0.3,0.0,0.67,0.01,2,0.81,0.01,0.15,0.0,10,0.19,0.0,0,0,,
8.81,3.73,0.1,0.02,LGBMClassifier(),RandomUnderSampler(),passthrough,"{'estimator': LGBMClassifier(), 'sampler': RandomUnderSampler(), 'scaler': 'passthrough'}",0.73,0.0,5,0.83,0.0,0.67,0.01,13,0.7,0.0,0.25,0.0,4,0.3,0.0,0.67,0.01,1,0.81,0.0,0.15,0.0,11,0.19,0.0,0,0,,
5.11,0.91,0.12,0.04,LGBMClassifier(),passthrough,StandardScaler(),"{'estimator': LGBMClassifier(), 'sampler': 'passthrough', 'scaler': StandardScaler()}",0.74,0.0,2,0.86,0.0,0.92,0.0,6,0.92,0.0,0.02,0.01,12,0.07,0.0,0.01,0.0,12,0.04,0.0,0.41,0.08,5,0.92,0.02,0,0,,
6.33,1.5,0.08,0.01,LGBMClassifier(),passthrough,passthrough,"{'estimator': LGBMClassifier(), 'sampler': 'passthrough', 'scaler': 'passthrough'}",0.74,0.01,1,0.86,0.0,0.92,0.0,5,0.92,0.0,0.03,0.01,11,0.07,0.01,0.01,0.0,11,0.04,0.0,0.43,0.05,4,0.92,0.03,0,0,,
3.52,1.92,0.08,0.02,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)",RandomUnderSampler(),StandardScaler(),"{'estimator': XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...), 'sampler': RandomUnderSampler(), 'scaler': StandardScaler()}",0.71,0.0,12,0.87,0.0,0.66,0.0,15,0.7,0.01,0.23,0.0,7,0.33,0.0,0.65,0.01,6,0.91,0.0,0.14,0.0,14,0.2,0.0,0,0,,
6.56,0.15,0.08,0.01,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)",RandomUnderSampler(),passthrough,"{'estimator': XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...), 'sampler': RandomUnderSampler(), 'scaler': 'passthrough'}",0.71,0.01,11,0.87,0.0,0.66,0.01,14,0.7,0.0,0.23,0.0,6,0.33,0.0,0.64,0.01,7,0.91,0.01,0.14,0.0,13,0.2,0.0,0,0,,
8.75,0.16,0.08,0.0,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)",passthrough,StandardScaler(),"{'estimator': XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...), 'sampler': 'passthrough', 'scaler': StandardScaler()}",0.72,0.0,10,0.91,0.0,0.92,0.0,7,0.93,0.0,0.06,0.01,9,0.25,0.01,0.03,0.0,9,0.15,0.01,0.38,0.06,6,0.96,0.0,0,0,,
8.05,0.44,0.07,0.01,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)",passthrough,passthrough,"{'estimator': XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...), 'sampler': 'passthrough', 'scaler': 'passthrough'}",0.72,0.0,9,0.91,0.0,0.92,0.0,7,0.93,0.0,0.06,0.01,9,0.25,0.01,0.03,0.0,9,0.15,0.01,0.38,0.06,6,0.96,0.0,0,0,,
0.03,0.0,0.03,0.0,LogisticRegression(),RandomUnderSampler(replacement=True),StandardScaler(),"{'estimator': LogisticRegression(), 'sampler': RandomUnderSampler(replacement=True), 'scaler': StandardScaler(), 'transformer': ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])}",0.54,0.0,29,0.54,0.0,0.55,0.01,26,0.55,0.01,0.16,0.0,15,0.16,0.0,0.52,0.02,14,0.52,0.01,0.09,0.0,26,0.09,0.0,0,0,,"ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])"
0.07,0.01,0.05,0.01,LogisticRegression(),RandomUnderSampler(replacement=True),StandardScaler(),"{'estimator': LogisticRegression(), 'sampler': RandomUnderSampler(replacement=True), 'scaler': StandardScaler(), 'transformer': 'passthrough'}",0.73,0.01,3,0.73,0.0,0.68,0.0,17,0.68,0.0,0.25,0.0,1,0.25,0.0,0.66,0.01,4,0.66,0.0,0.15,0.0,10,0.15,0.0,0,0,,passthrough
0.07,0.02,0.06,0.02,LogisticRegression(),RandomUnderSampler(replacement=True),passthrough,"{'estimator': LogisticRegression(), 'sampler': RandomUnderSampler(replacement=True), 'scaler': 'passthrough', 'transformer': ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])}",0.54,0.0,32,0.54,0.0,0.55,0.01,25,0.56,0.01,0.16,0.0,16,0.16,0.0,0.51,0.02,15,0.51,0.01,0.09,0.0,27,0.09,0.0,0,0,,"ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])"
0.1,0.02,0.05,0.01,LogisticRegression(),RandomUnderSampler(replacement=True),passthrough,"{'estimator': LogisticRegression(), 'sampler': RandomUnderSampler(replacement=True), 'scaler': 'passthrough', 'transformer': 'passthrough'}",0.55,0.01,28,0.55,0.0,0.58,0.03,24,0.58,0.03,0.16,0.0,14,0.16,0.0,0.49,0.05,16,0.49,0.05,0.09,0.0,23,0.09,0.0,0,0,,passthrough
0.1,0.03,0.06,0.04,LogisticRegression(),passthrough,StandardScaler(),"{'estimator': LogisticRegression(), 'sampler': 'passthrough', 'scaler': StandardScaler(), 'transformer': ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])}",0.54,0.0,31,0.54,0.0,0.92,0.0,1,0.92,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,28,0.0,0.0,0,0,,"ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])"
0.34,0.04,0.06,0.0,LogisticRegression(),passthrough,StandardScaler(),"{'estimator': LogisticRegression(), 'sampler': 'passthrough', 'scaler': StandardScaler(), 'transformer': 'passthrough'}",0.73,0.01,4,0.73,0.0,0.92,0.0,6,0.92,0.0,0.01,0.0,25,0.01,0.0,0.01,0.0,25,0.01,0.0,0.49,0.07,1,0.43,0.03,0,0,,passthrough
0.27,0.04,0.06,0.01,LogisticRegression(),passthrough,passthrough,"{'estimator': LogisticRegression(), 'sampler': 'passthrough', 'scaler': 'passthrough', 'transformer': ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])}",0.54,0.0,30,0.54,0.0,0.92,0.0,1,0.92,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,28,0.0,0.0,0,0,,"ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])"
0.66,0.05,0.06,0.04,LogisticRegression(),passthrough,passthrough,"{'estimator': LogisticRegression(), 'sampler': 'passthrough', 'scaler': 'passthrough', 'transformer': 'passthrough'}",0.59,0.01,19,0.59,0.0,0.92,0.0,1,0.92,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,28,0.0,0.0,0,0,,passthrough
1.32,0.07,0.56,0.03,RandomForestClassifier(),RandomUnderSampler(replacement=True),StandardScaler(),"{'estimator': RandomForestClassifier(), 'sampler': RandomUnderSampler(replacement=True), 'scaler': StandardScaler(), 'transformer': ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])}",0.56,0.01,25,0.89,0.0,0.54,0.01,29,0.6,0.0,0.16,0.0,12,0.28,0.0,0.55,0.01,13,0.95,0.0,0.09,0.0,24,0.16,0.0,0,0,,"ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])"
1.72,0.04,0.6,0.04,RandomForestClassifier(),RandomUnderSampler(replacement=True),StandardScaler(),"{'estimator': RandomForestClassifier(), 'sampler': RandomUnderSampler(replacement=True), 'scaler': StandardScaler(), 'transformer': 'passthrough'}",0.72,0.01,8,0.98,0.0,0.67,0.01,20,0.72,0.01,0.24,0.0,5,0.37,0.0,0.66,0.01,7,1.0,0.0,0.15,0.0,13,0.23,0.0,0,0,,passthrough
1.23,0.09,0.57,0.03,RandomForestClassifier(),RandomUnderSampler(replacement=True),passthrough,"{'estimator': RandomForestClassifier(), 'sampler': RandomUnderSampler(replacement=True), 'scaler': 'passthrough', 'transformer': ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])}",0.56,0.01,24,0.89,0.0,0.54,0.0,30,0.6,0.0,0.16,0.0,13,0.28,0.0,0.55,0.02,12,0.95,0.0,0.09,0.0,25,0.16,0.0,0,0,,"ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])"
1.61,0.07,0.6,0.01,RandomForestClassifier(),RandomUnderSampler(replacement=True),passthrough,"{'estimator': RandomForestClassifier(), 'sampler': RandomUnderSampler(replacement=True), 'scaler': 'passthrough', 'transformer': 'passthrough'}",0.72,0.01,7,0.98,0.0,0.67,0.01,19,0.72,0.0,0.25,0.0,3,0.37,0.0,0.66,0.01,2,1.0,0.0,0.15,0.0,12,0.23,0.0,0,0,,passthrough
7.99,0.21,0.74,0.04,RandomForestClassifier(),passthrough,StandardScaler(),"{'estimator': RandomForestClassifier(), 'sampler': 'passthrough', 'scaler': StandardScaler(), 'transformer': ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])}",0.56,0.01,26,0.98,0.0,0.91,0.0,16,0.97,0.0,0.05,0.01,20,0.78,0.0,0.03,0.01,20,0.65,0.0,0.13,0.03,18,0.96,0.0,0,0,,"ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])"
11.69,0.17,0.7,0.01,RandomForestClassifier(),passthrough,StandardScaler(),"{'estimator': RandomForestClassifier(), 'sampler': 'passthrough', 'scaler': StandardScaler(), 'transformer': 'passthrough'}",0.7,0.0,14,1.0,0.0,0.92,0.0,12,1.0,0.0,0.01,0.01,24,1.0,0.0,0.01,0.0,24,1.0,0.0,0.38,0.19,7,1.0,0.0,0,0,,passthrough
8.05,0.16,0.72,0.07,RandomForestClassifier(),passthrough,passthrough,"{'estimator': RandomForestClassifier(), 'sampler': 'passthrough', 'scaler': 'passthrough', 'transformer': ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])}",0.56,0.01,27,0.98,0.0,0.91,0.0,15,0.97,0.0,0.05,0.01,19,0.78,0.0,0.03,0.0,19,0.65,0.0,0.15,0.02,15,0.96,0.0,0,0,,"ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])"
10.35,0.37,0.71,0.04,RandomForestClassifier(),passthrough,passthrough,"{'estimator': RandomForestClassifier(), 'sampler': 'passthrough', 'scaler': 'passthrough', 'transformer': 'passthrough'}",0.7,0.01,13,1.0,0.0,0.92,0.0,9,1.0,0.0,0.02,0.01,23,1.0,0.0,0.01,0.0,23,1.0,0.0,0.46,0.13,3,1.0,0.0,0,0,,passthrough
3.38,1.54,0.11,0.05,LGBMClassifier(),RandomUnderSampler(replacement=True),StandardScaler(),"{'estimator': LGBMClassifier(), 'sampler': RandomUnderSampler(replacement=True), 'scaler': StandardScaler(), 'transformer': ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])}",0.58,0.01,22,0.69,0.0,0.54,0.01,27,0.57,0.01,0.17,0.0,10,0.21,0.0,0.57,0.02,11,0.73,0.0,0.1,0.0,21,0.12,0.0,0,0,,"ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])"
2.35,0.26,0.1,0.03,LGBMClassifier(),RandomUnderSampler(replacement=True),StandardScaler(),"{'estimator': LGBMClassifier(), 'sampler': RandomUnderSampler(replacement=True), 'scaler': StandardScaler(), 'transformer': 'passthrough'}",0.73,0.01,6,0.82,0.0,0.67,0.01,18,0.69,0.0,0.25,0.01,2,0.3,0.0,0.67,0.01,1,0.81,0.01,0.15,0.0,11,0.18,0.0,0,0,,passthrough
2.01,0.24,0.07,0.01,LGBMClassifier(),RandomUnderSampler(replacement=True),passthrough,"{'estimator': LGBMClassifier(), 'sampler': RandomUnderSampler(replacement=True), 'scaler': 'passthrough', 'transformer': ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])}",0.58,0.01,20,0.7,0.0,0.54,0.01,28,0.57,0.01,0.17,0.0,8,0.21,0.0,0.58,0.01,9,0.73,0.01,0.1,0.0,19,0.13,0.0,0,0,,"ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])"
2.58,0.23,0.09,0.02,LGBMClassifier(),RandomUnderSampler(replacement=True),passthrough,"{'estimator': LGBMClassifier(), 'sampler': RandomUnderSampler(replacement=True), 'scaler': 'passthrough', 'transformer': 'passthrough'}",0.73,0.01,5,0.82,0.0,0.67,0.01,21,0.69,0.0,0.24,0.01,4,0.3,0.0,0.66,0.01,3,0.81,0.01,0.15,0.01,14,0.18,0.0,0,0,,passthrough
2.75,0.26,0.06,0.01,LGBMClassifier(),passthrough,StandardScaler(),"{'estimator': LGBMClassifier(), 'sampler': 'passthrough', 'scaler': StandardScaler(), 'transformer': ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])}",0.59,0.01,18,0.75,0.0,0.92,0.0,1,0.92,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,28,1.0,0.0,0,0,,"ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])"
